代码,名称,选中日期,选中当日涨跌幅,选中1日涨跌幅,选中2日涨跌幅,选中3日涨跌幅,选中4日涨跌幅,选中5日涨跌幅,选中6日涨跌幅,选中7日涨跌幅,选中8日涨跌幅,选中9日涨跌幅,选中10日涨跌幅
000010,美丽生态,2021-03-09T00:00:00+08:00,10.11,1.49,-3.42,-2.03,3.36,4.25,-3.6,-0.25,-2.0,5.6,0.24
000010,美丽生态,2021-03-24T00:00:00+08:00,10.1,-4.59,3.43,-3.76,-6.44,0.74,-2.2,3.99,2.64,-1.17,-2.6
000010,美丽生态,2021-10-12T00:00:00+08:00,9.97,-5.01,0.75,-2.24,0.51,-1.52,0.52,-0.51,-3.09,0.53,0.79
000007,*ST全新,2021-02-18T00:00:00+08:00,9.92,10.11,10.16,-3.27,3.08,10.15,10.03,7.14,-9.89,6.89,-10.02
000007,*ST全新,2021-02-19T00:00:00+08:00,10.11,10.16,-3.27,3.08,10.15,10.03,7.14,-9.89,6.89,-10.02,-3.98
000007,*ST全新,2021-02-22T00:00:00+08:00,10.16,-3.27,3.08,10.15,10.03,7.14,-9.89,6.89,-10.02,-3.98,9.94
000007,*ST全新,2021-02-25T00:00:00+08:00,10.15,10.03,7.14,-9.89,6.89,-10.02,-3.98,9.94,10.05,-0.23,-4.58
000007,*ST全新,2021-02-26T00:00:00+08:00,10.03,7.14,-9.89,6.89,-10.02,-3.98,9.94,10.05,-0.23,-4.58,2.4
000007,*ST全新,2021-03-08T00:00:00+08:00,9.94,10.05,-0.23,-4.58,2.4,-4.92,5.17,10.07,-5.32,0.67,-4.24
000007,*ST全新,2021-03-09T00:00:00+08:00,10.05,-0.23,-4.58,2.4,-4.92,5.17,10.07,-5.32,0.67,-4.24,-3.5
000007,*ST全新,2021-03-17T00:00:00+08:00,10.07,-5.32,0.67,-4.24,-3.5,-9.42,1.6,1.05,-3.38,-5.38,9.94
000007,*ST全新,2021-03-31T00:00:00+08:00,9.94,3.36,1.25,-2.22,3.03,-2.21,-2.76,0.0,-3.87,1.88,-2.89
000002,万  科Ａ,2021-02-25T00:00:00+08:00,10.0,0.33,0.76,-0.18,0.63,-2.42,-3.52,-1.08,-0.58,-1.06,1.5
000005,ST星源,2021-03-25T00:00:00+08:00,10.16,-2.48,-7.27,-5.1,0.0,-2.89,-1.7,1.3,0.85,-1.69,-1.72
000011,深物业A,2021-03-15T00:00:00+08:00,10.01,10.03,10.04,4.37,-7.38,3.12,-9.99,-5.65,2.58,1.33,4.31
000011,深物业A,2021-03-16T00:00:00+08:00,10.03,10.04,4.37,-7.38,3.12,-9.99,-5.65,2.58,1.33,4.31,-3.99
000011,深物业A,2021-03-17T00:00:00+08:00,10.04,4.37,-7.38,3.12,-9.99,-5.65,2.58,1.33,4.31,-3.99,-1.82
000009,中国宝安,2021-02-02T00:00:00+08:00,10.01,0.25,0.88,2.0,-0.12,-0.74,0.74,4.42,9.99,9.94,4.96
000009,中国宝安,2021-02-19T00:00:00+08:00,9.99,9.94,4.96,-4.91,-2.73,-3.1,0.72,-3.28,1.38,-3.56,0.0
000009,中国宝安,2021-02-22T00:00:00+08:00,9.94,4.96,-4.91,-2.73,-3.1,0.72,-3.28,1.38,-3.56,0.0,-2.82
000009,中国宝安,2021-04-06T00:00:00+08:00,10.04,0.99,-5.11,-0.31,-2.39,2.98,2.38,0.0,0.81,-0.5,9.36
000009,中国宝安,2021-06-07T00:00:00+08:00,10.01,8.74,5.33,9.97,0.07,8.35,-8.75,7.52,6.66,1.5,-2.21
000009,中国宝安,2021-06-10T00:00:00+08:00,9.97,0.07,8.35,-8.75,7.52,6.66,1.5,-2.21,-0.63,0.57,3.27
000009,中国宝安,2021-06-28T00:00:00+08:00,9.99,1.88,-0.65,-5.04,0.17,2.3,2.14,2.04,9.98,7.85,8.74
000009,中国宝安,2021-07-08T00:00:00+08:00,9.98,7.85,8.74,-4.6,-3.29,0.59,-1.04,-5.83,3.05,5.07,10.01
000009,中国宝安,2021-07-22T00:00:00+08:00,10.01,-5.85,-0.04,-7.6,-10.0,10.02,0.09,4.9,-7.01,10.0,10.01
